probability,decision,risk_level
0.2843141864301695,REVIEW,Medium
0.30318312741491604,REVIEW,Medium
0.4557012424228133,REJECT,High
0.2395572058642307,REVIEW,Medium
0.09113883460019287,APPROVE,Low
0.44413677923658595,REJECT,High
0.316156053287395,REVIEW,Medium
0.354023919993914,REVIEW,Medium
0.21414490107743883,REVIEW,Medium
0.42175372403709926,REJECT,High
0.5992275959423184,REJECT,High
0.23071911032681322,REVIEW,Medium
0.21706064893736968,REVIEW,Medium
0.38775719603675873,REVIEW,Medium
0.4287652659444104,REJECT,High
0.6805269417934167,REJECT,High
0.054079486953242516,APPROVE,Low
0.6161287023849804,REJECT,High
0.3924433777743219,REVIEW,Medium
0.3896979369483641,REVIEW,Medium
0.3509441148259168,REVIEW,Medium
0.2696652715438857,REVIEW,Medium
0.3954787892602796,REVIEW,Medium
0.5096036545835622,REJECT,High
0.19167185394147684,APPROVE,Low
0.4852332555610705,REJECT,High
0.25643468228504573,REVIEW,Medium
0.1602302969551376,APPROVE,Low
0.8358651089016508,REJECT,High
0.4864882343859472,REJECT,High
0.2015106509922091,REVIEW,Medium
0.42311312842283555,REJECT,High
0.8176896910226998,REJECT,High
0.45011459593127634,REJECT,High
0.40733207782073483,REJECT,High
0.31793889288510574,REVIEW,Medium
0.2642636483431828,REVIEW,Medium
0.4074565112566787,REJECT,High
0.13273864202778085,APPROVE,Low
0.7007509897269011,REJECT,High
0.28300240157536877,REVIEW,Medium
0.7475236722607841,REJECT,High
0.4910274653407827,REJECT,High
0.46746980489513956,REJECT,High
0.4739160465124458,REJECT,High
0.44042211042538637,REJECT,High
0.27372622174003136,REVIEW,Medium
0.7502971340947446,REJECT,High
0.4013760227727012,REJECT,High
0.4352220263447231,REJECT,High
0.5626751712897967,REJECT,High
0.14389840848906113,APPROVE,Low
0.9286926027442151,REJECT,High
0.7633423308679692,REJECT,High
0.2939203134800334,REVIEW,Medium
0.43624221937273044,REJECT,High
0.5240608338022767,REJECT,High
0.3279434658336835,REVIEW,Medium
0.10635475811919559,APPROVE,Low
0.8028536704807054,REJECT,High
0.31249434204245286,REVIEW,Medium
0.7414201829146694,REJECT,High
0.6131723276983219,REJECT,High
0.1681223001603232,APPROVE,Low
0.1420094805150489,APPROVE,Low
0.27465932565621126,REVIEW,Medium
0.5181298990770686,REJECT,High
0.9561736048795713,REJECT,High
0.4019396456024334,REJECT,High
0.1953635150985272,APPROVE,Low
0.5160217789188459,REJECT,High
0.28804775582171294,REVIEW,Medium
0.3537258842094127,REVIEW,Medium
0.7991779218344025,REJECT,High
0.36372728465598003,REVIEW,Medium
0.38416291470892344,REVIEW,Medium
0.2360050076094453,REVIEW,Medium
0.34730670646736167,REVIEW,Medium
0.3616725871869779,REVIEW,Medium
0.4392615804293318,REJECT,High
0.7200298499463555,REJECT,High
0.42843553423623243,REJECT,High
0.4492115504414115,REJECT,High
0.48259129420745145,REJECT,High
0.24069514309882908,REVIEW,Medium
0.33692898598542514,REVIEW,Medium
0.8481469060851546,REJECT,High
0.3735671163299671,REVIEW,Medium
0.49729331993700593,REJECT,High
0.4477636433684244,REJECT,High
0.43163497104549087,REJECT,High
0.27334762994254874,REVIEW,Medium
0.4588547114922311,REJECT,High
